Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Genotype]	Characteristics[Organism]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM356494 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 12 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD12 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356494 extract 1	total RNA	P-GSE14225-5	GSM356494 LE 1	biotin	P-GSE14225-6	GSM356494	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356494_sample_table.txt norm	GSM356494_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356493 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 8 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD 8 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356493 extract 1	total RNA	P-GSE14225-5	GSM356493 LE 1	biotin	P-GSE14225-6	GSM356493	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356493_sample_table.txt norm	GSM356493_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356492 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 4 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD 4 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356492 extract 1	total RNA	P-GSE14225-5	GSM356492 LE 1	biotin	P-GSE14225-6	GSM356492	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356492_sample_table.txt norm	GSM356492_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356491 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 0 (=ZT12, DD0) under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD 0 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356491 extract 1	total RNA	P-GSE14225-5	GSM356491 LE 1	biotin	P-GSE14225-6	GSM356491	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356491_sample_table.txt norm	GSM356491_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356490 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 20 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD20, rep2	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356490 extract 1	total RNA	P-GSE14225-5	GSM356490 LE 1	biotin	P-GSE14225-6	GSM356490	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356490_sample_table.txt norm	GSM356490_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356489 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 16 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD16, rep2	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356489 extract 1	total RNA	P-GSE14225-5	GSM356489 LE 1	biotin	P-GSE14225-6	GSM356489	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356489_sample_table.txt norm	GSM356489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356488 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 12 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD12, rep2	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356488 extract 1	total RNA	P-GSE14225-5	GSM356488 LE 1	biotin	P-GSE14225-6	GSM356488	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356488_sample_table.txt norm	GSM356488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356487 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 8 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD 8, rep2	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356487 extract 1	total RNA	P-GSE14225-5	GSM356487 LE 1	biotin	P-GSE14225-6	GSM356487	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356487_sample_table.txt norm	GSM356487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356486 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 4 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD 4, rep2	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356486 extract 1	total RNA	P-GSE14225-5	GSM356486 LE 1	biotin	P-GSE14225-6	GSM356486	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356486_sample_table.txt norm	GSM356486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356485 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 0 (=ZT12, DD0) under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture.	WT at DD 0, rep2	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356485 extract 1	total RNA	P-GSE14225-5	GSM356485 LE 1	biotin	P-GSE14225-6	GSM356485	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356485_sample_table.txt norm	GSM356485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356484 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 52 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD52, rep1	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356484 extract 1	total RNA	P-GSE14225-5	GSM356484 LE 1	biotin	P-GSE14225-6	GSM356484	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356484_sample_table.txt norm	GSM356484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356483 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 48 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD48, rep1	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356483 extract 1	total RNA	P-GSE14225-5	GSM356483 LE 1	biotin	P-GSE14225-6	GSM356483	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356483_sample_table.txt norm	GSM356483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356482 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 44 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD44, rep1	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356482 extract 1	total RNA	P-GSE14225-5	GSM356482 LE 1	biotin	P-GSE14225-6	GSM356482	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356482_sample_table.txt norm	GSM356482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356481 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 40 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD40, rep1	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356481 extract 1	total RNA	P-GSE14225-5	GSM356481 LE 1	biotin	P-GSE14225-6	GSM356481	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356481_sample_table.txt norm	GSM356481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356480 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 36 under continuous dark (DD) after two 12-h:12-h dark/light cycles from a continuous culture.	WT at DD36, rep1	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356480 extract 1	total RNA	P-GSE14225-5	GSM356480 LE 1	biotin	P-GSE14225-6	GSM356480	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356480_sample_table.txt norm	GSM356480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
