Source Name	Characteristics [Organism]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [Time]	Unit [TimeUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy5_l4	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day2_L9_Cy3_1	A-MEXP-864	P-TABM-1828	45	h	BioRep2_Day2_L9_Cy3_1	US22502547_251382210063_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day2_L9	P-TABM-1825	BioRep2_Day2_L9	total_RNA	P-TABM-1826	BioRep2_Day2_L9_Cy3_1	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day2_L9_Cy3_1	A-MEXP-864	P-TABM-1828	45	h	BioRep2_Day2_L9_Cy3_1	US22502547_251382210063_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep1	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep1_Day2_D5	P-TABM-1825	BioRep1_Day2_D5	total_RNA	P-TABM-1826	BioRep1_Day2_D5_Cy3_1	Cy3	synthetic_DNA	P-TABM-1827	BioRep1_Day2_D5_Cy3_1	A-MEXP-864	P-TABM-1828	29	h	BioRep1_Day2_D5_Cy3_1	US22502547_251382210010_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep1	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep1_Pooled	P-TABM-1825	BioRep1_Pooled	total_RNA	P-TABM-1826	BioRep1_Pooled_Cy5_h1	Cy5	synthetic_DNA	P-TABM-1827	BioRep1_Day2_D5_Cy3_1	A-MEXP-864	P-TABM-1828	29	h	BioRep1_Day2_D5_Cy3_1	US22502547_251382210010_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day1_D1	P-TABM-1825	BioRep2_Day1_D1	total_RNA	P-TABM-1826	BioRep2_Day1_D1_Cy3_2	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D1_Cy3_2	A-MEXP-864	P-TABM-1828	1	h	BioRep2_Day1_D1_Cy3_2	US22502547_251382210033_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy5_a7	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D1_Cy3_2	A-MEXP-864	P-TABM-1828	1	h	BioRep2_Day1_D1_Cy3_2	US22502547_251382210033_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy5_b1	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D5_Cy3_1	A-MEXP-864	P-TABM-1828	5	h	BioRep2_Day1_D5_Cy3_1	US22502547_251382210035_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day1_D5	P-TABM-1825	BioRep2_Day1_D5	total_RNA	P-TABM-1826	BioRep2_Day1_D5_Cy3_1	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D5_Cy3_1	A-MEXP-864	P-TABM-1828	5	h	BioRep2_Day1_D5_Cy3_1	US22502547_251382210035_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day1_L1	P-TABM-1825	BioRep2_Day1_L1	total_RNA	P-TABM-1826	BioRep2_Day1_L1_Cy3_2	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day1_L1_Cy3_2	A-MEXP-864	P-TABM-1828	13	h	BioRep2_Day1_L1_Cy3_2	US22502547_251382210022_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy5_d5	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day1_L1_Cy3_2	A-MEXP-864	P-TABM-1828	13	h	BioRep2_Day1_L1_Cy3_2	US22502547_251382210022_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy3_k6	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day2_L5_Cy5_1	A-MEXP-864	P-TABM-1828	41	h	BioRep2_Day2_L5_Cy5_1	US22502547_251382210061_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day2_L5	P-TABM-1825	BioRep2_Day2_L5	total_RNA	P-TABM-1826	BioRep2_Day2_L5_Cy5_1	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day2_L5_Cy5_1	A-MEXP-864	P-TABM-1828	41	h	BioRep2_Day2_L5_Cy5_1	US22502547_251382210061_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day1_L9	P-TABM-1825	BioRep2_Day1_L9	total_RNA	P-TABM-1826	BioRep2_Day1_L9_Cy5_1	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day1_L9_Cy5_1	A-MEXP-864	P-TABM-1828	21	h	BioRep2_Day1_L9_Cy5_1	US22502547_251382210050_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy3_f6	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day1_L9_Cy5_1	A-MEXP-864	P-TABM-1828	21	h	BioRep2_Day1_L9_Cy5_1	US22502547_251382210050_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep1	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep1_Day2_L5	P-TABM-1825	BioRep1_Day2_L5	total_RNA	P-TABM-1826	BioRep1_Day2_L5_Cy3_1	Cy3	synthetic_DNA	P-TABM-1827	BioRep1_Day2_L5_Cy3_1	A-MEXP-864	P-TABM-1828	41	h	BioRep1_Day2_L5_Cy3_1	US22502547_251382210059_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep1	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep1_Pooled	P-TABM-1825	BioRep1_Pooled	total_RNA	P-TABM-1826	BioRep1_Pooled_Cy5_k1	Cy5	synthetic_DNA	P-TABM-1827	BioRep1_Day2_L5_Cy3_1	A-MEXP-864	P-TABM-1828	41	h	BioRep1_Day2_L5_Cy3_1	US22502547_251382210059_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep1	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep1_Pooled	P-TABM-1825	BioRep1_Pooled	total_RNA	P-TABM-1826	BioRep1_Pooled_Cy5_d2	Cy5	synthetic_DNA	P-TABM-1827	BioRep1_Day1_L1_Cy3_2	A-MEXP-864	P-TABM-1828	13	h	BioRep1_Day1_L1_Cy3_2	US22502547_251382210020_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep1	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep1_Day1_L1	P-TABM-1825	BioRep1_Day1_L1	total_RNA	P-TABM-1826	BioRep1_Day1_L1_Cy3_2	Cy3	synthetic_DNA	P-TABM-1827	BioRep1_Day1_L1_Cy3_2	A-MEXP-864	P-TABM-1828	13	h	BioRep1_Day1_L1_Cy3_2	US22502547_251382210020_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day2_L1	P-TABM-1825	BioRep2_Day2_L1	total_RNA	P-TABM-1826	BioRep2_Day2_L1_Cy3_1	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day2_L1_Cy3_1	A-MEXP-864	P-TABM-1828	37	h	BioRep2_Day2_L1_Cy3_1	US22502547_251382210057_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy5_j4	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day2_L1_Cy3_1	A-MEXP-864	P-TABM-1828	37	h	BioRep2_Day2_L1_Cy3_1	US22502547_251382210057_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy5_b4	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D5_Cy3_3	A-MEXP-864	P-TABM-1828	5	h	BioRep2_Day1_D5_Cy3_3	US22502547_251382210038_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day1_D5	P-TABM-1825	BioRep2_Day1_D5	total_RNA	P-TABM-1826	BioRep2_Day1_D5_Cy3_3	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D5_Cy3_3	A-MEXP-864	P-TABM-1828	5	h	BioRep2_Day1_D5_Cy3_3	US22502547_251382210038_S01_GE2-SSPE_85_2x11k_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Day1_D1	P-TABM-1825	BioRep2_Day1_D1	total_RNA	P-TABM-1826	BioRep2_Day1_D1_Cy5_1	Cy5	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D1_Cy5_1	A-MEXP-864	P-TABM-1828	1	h	BioRep2_Day1_D1_Cy5_1	US22502547_251382210032_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
BioRep2	Cyanothece sp. ATCC 51142	P-TABM-1824	P-TABM-1823	BioRep2_Pooled	P-TABM-1825	BioRep2_Pooled	total_RNA	P-TABM-1826	BioRep2_Pooled_Cy3_a6	Cy3	synthetic_DNA	P-TABM-1827	BioRep2_Day1_D1_Cy5_1	A-MEXP-864	P-TABM-1828	1	h	BioRep2_Day1_D1_Cy5_1	US22502547_251382210032_S01_GE2-SSPE_85_2x11k_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.raw.1.zip	P-TABM-1829	FinalDataMatrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-337/E-TABM-337.processed.1.zip
